age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,management,married,tertiary,no,1557,yes,yes,cellular,5,feb,225,1,268,1,failure,no
42,blue-collar,married,secondary,no,165,no,no,telephone,20,apr,169,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,2761,yes,no,cellular,18,may,325,1,-1,0,unknown,no
39,technician,single,tertiary,no,4660,no,no,unknown,30,may,53,2,-1,0,unknown,no
54,management,married,tertiary,no,1353,yes,no,unknown,27,may,119,2,-1,0,unknown,no
58,blue-collar,married,primary,no,3501,yes,no,unknown,15,may,544,3,-1,0,unknown,no
30,services,single,secondary,no,85,yes,no,cellular,10,jul,81,7,-1,0,unknown,no
30,technician,married,secondary,no,3875,yes,no,cellular,7,may,131,1,338,2,other,no
31,services,single,secondary,no,334,no,no,unknown,28,jun,54,1,-1,0,unknown,no
66,blue-collar,married,primary,no,2552,no,no,telephone,22,apr,186,4,-1,0,unknown,no
28,blue-collar,married,secondary,no,1137,no,no,cellular,6,feb,129,4,211,3,other,no
54,technician,married,secondary,no,465,yes,yes,cellular,17,nov,92,1,-1,0,unknown,no
54,retired,married,secondary,no,3846,yes,yes,unknown,19,jun,216,2,-1,0,unknown,no
53,admin.,divorced,secondary,no,0,yes,no,cellular,5,may,246,1,344,1,failure,no
30,technician,single,tertiary,no,-522,yes,no,unknown,13,may,375,1,-1,0,unknown,no
27,admin.,married,secondary,no,-401,yes,yes,cellular,3,feb,205,3,214,1,failure,no
36,blue-collar,married,secondary,no,717,no,no,unknown,11,jun,63,1,-1,0,unknown,no
33,management,married,tertiary,no,641,yes,no,cellular,13,aug,347,2,-1,0,unknown,no
31,management,single,tertiary,no,86,no,no,cellular,12,aug,150,4,-1,0,unknown,no
49,blue-collar,single,secondary,no,-367,yes,no,cellular,2,feb,98,1,207,1,failure,no
33,self-employed,married,tertiary,no,1249,yes,no,cellular,11,jul,261,2,-1,0,unknown,no
39,technician,married,tertiary,no,3911,yes,no,cellular,18,nov,247,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,-648,yes,no,cellular,21,nov,280,2,-1,0,unknown,no
48,blue-collar,married,primary,no,448,yes,no,unknown,8,may,189,1,-1,0,unknown,no
71,retired,married,secondary,no,1651,no,no,cellular,13,aug,791,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,11,may,371,1,305,1,failure,no
41,unemployed,single,secondary,no,75,yes,no,cellular,8,may,103,2,344,1,failure,no
30,management,single,tertiary,no,60,no,no,cellular,27,aug,87,3,-1,0,unknown,no
42,entrepreneur,single,primary,no,103,yes,no,unknown,19,may,156,5,-1,0,unknown,no
49,admin.,married,primary,no,458,yes,no,unknown,8,may,381,1,-1,0,unknown,no
31,technician,married,secondary,no,-302,no,no,cellular,13,aug,195,2,-1,0,unknown,no
44,housemaid,married,primary,no,41,no,no,cellular,22,aug,299,1,-1,0,unknown,no
34,self-employed,married,secondary,no,179,yes,yes,cellular,24,jul,137,4,-1,0,unknown,no
30,management,single,tertiary,no,6392,yes,no,cellular,5,may,335,1,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,cellular,6,may,343,3,351,1,failure,no
43,management,married,primary,no,62,yes,no,cellular,14,may,133,1,300,3,failure,no
54,blue-collar,married,secondary,no,-69,yes,no,unknown,26,may,135,2,-1,0,unknown,no
32,services,divorced,secondary,no,-115,yes,no,unknown,16,may,134,1,-1,0,unknown,no
38,housemaid,married,secondary,no,634,no,no,unknown,11,jun,105,4,-1,0,unknown,no
36,blue-collar,single,tertiary,no,3649,yes,no,unknown,17,jun,756,2,-1,0,unknown,no
51,blue-collar,divorced,primary,no,-413,yes,no,unknown,29,may,331,4,-1,0,unknown,no
52,blue-collar,married,primary,no,134,yes,no,cellular,24,jul,81,3,-1,0,unknown,no
45,management,single,secondary,no,-57,no,yes,cellular,7,jul,262,1,-1,0,unknown,no
38,admin.,married,secondary,no,976,yes,yes,unknown,19,may,382,2,-1,0,unknown,no
33,management,married,tertiary,no,332,yes,yes,cellular,28,jan,706,1,-1,0,unknown,no
27,management,single,tertiary,no,497,no,no,cellular,5,feb,125,1,-1,0,unknown,no
35,retired,married,primary,no,285,yes,no,cellular,29,jan,136,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,6253,yes,no,cellular,9,jul,411,1,-1,0,unknown,no
58,housemaid,married,tertiary,no,94,no,yes,cellular,28,jul,207,7,-1,0,unknown,no
55,management,married,tertiary,no,1402,yes,no,cellular,17,nov,66,1,-1,0,unknown,no
35,admin.,single,secondary,no,-133,yes,no,cellular,14,may,546,3,-1,0,unknown,no
38,management,divorced,secondary,no,-17,no,no,cellular,21,nov,11,4,-1,0,unknown,no
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no
42,entrepreneur,married,tertiary,no,-14,yes,no,cellular,24,jul,58,2,-1,0,unknown,no
56,retired,married,primary,no,556,yes,no,cellular,28,aug,102,4,-1,0,unknown,no
47,admin.,single,secondary,no,3531,yes,no,cellular,7,jul,49,6,-1,0,unknown,no
35,management,single,tertiary,no,-108,yes,no,cellular,28,aug,74,3,-1,0,unknown,no
31,admin.,single,secondary,no,320,yes,no,cellular,15,may,376,2,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,808,no,no,unknown,16,jun,163,1,-1,0,unknown,no
33,management,married,tertiary,no,806,yes,no,unknown,6,jun,124,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,-271,yes,yes,cellular,2,feb,90,1,252,2,failure,no
37,blue-collar,married,secondary,no,456,no,yes,telephone,10,jul,85,6,-1,0,unknown,no
39,admin.,married,secondary,no,1221,no,no,unknown,12,jun,97,1,-1,0,unknown,no
34,admin.,single,secondary,no,1103,yes,no,unknown,28,may,89,1,-1,0,unknown,no
50,services,married,secondary,no,5569,no,no,cellular,7,aug,103,4,-1,0,unknown,no
37,admin.,married,secondary,no,3226,yes,yes,cellular,24,jul,226,3,-1,0,unknown,no
58,blue-collar,married,unknown,no,5505,yes,no,unknown,23,may,317,4,-1,0,unknown,no
40,housemaid,married,tertiary,no,795,yes,no,unknown,29,may,725,3,-1,0,unknown,no
33,technician,single,tertiary,no,1257,yes,no,cellular,22,jul,66,1,-1,0,unknown,no
59,retired,married,secondary,no,1980,no,no,cellular,11,aug,185,2,-1,0,unknown,no
31,services,married,secondary,no,14387,yes,no,cellular,20,nov,128,1,-1,0,unknown,no
39,admin.,married,secondary,no,-139,no,no,cellular,30,jul,120,2,-1,0,unknown,no
59,admin.,married,unknown,no,64343,no,no,cellular,6,aug,45,4,-1,0,unknown,no
40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,1112,yes,no,unknown,16,may,827,2,-1,0,unknown,no
59,blue-collar,divorced,primary,no,1,no,yes,cellular,8,jul,214,1,-1,0,unknown,no
61,management,married,tertiary,no,1224,no,no,cellular,1,oct,99,1,-1,0,unknown,no
31,technician,single,tertiary,no,932,yes,no,unknown,2,jun,169,1,-1,0,unknown,no
55,retired,married,secondary,no,991,no,no,cellular,11,jul,593,2,-1,0,unknown,no
54,management,divorced,tertiary,no,1692,yes,no,cellular,29,jul,299,5,-1,0,unknown,no
32,services,single,secondary,no,717,no,no,cellular,30,jan,462,2,-1,0,unknown,no
31,blue-collar,married,primary,no,76,no,yes,telephone,7,jul,146,4,-1,0,unknown,no
41,unemployed,married,secondary,no,510,no,no,cellular,29,jul,61,2,-1,0,unknown,no
45,technician,married,secondary,no,118,yes,no,unknown,7,may,208,2,-1,0,unknown,no
36,technician,married,secondary,no,24,yes,no,cellular,30,apr,58,1,163,1,failure,no
63,retired,divorced,primary,no,1840,no,no,cellular,12,mar,71,3,-1,0,unknown,no
32,unemployed,married,tertiary,no,394,yes,no,cellular,14,aug,266,2,-1,0,unknown,no
39,blue-collar,married,primary,no,481,yes,no,unknown,8,may,204,1,-1,0,unknown,no
32,management,single,tertiary,no,28,no,no,cellular,8,aug,111,2,-1,0,unknown,no
30,blue-collar,married,primary,no,4,yes,no,unknown,2,jun,34,1,-1,0,unknown,no
57,management,married,primary,no,6900,no,no,cellular,21,apr,159,2,-1,0,unknown,no
45,blue-collar,married,primary,no,147,yes,no,unknown,3,jun,478,2,-1,0,unknown,no
33,blue-collar,married,primary,no,41,yes,no,cellular,13,may,173,1,-1,0,unknown,no
27,services,single,tertiary,no,9965,yes,no,cellular,22,jul,662,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,1387,no,no,cellular,5,feb,185,1,-1,0,unknown,no
55,self-employed,married,secondary,no,198,no,no,cellular,25,aug,111,6,-1,0,unknown,no
29,unemployed,single,secondary,no,670,yes,no,unknown,26,sep,6,1,-1,0,unknown,no
30,management,single,tertiary,no,1289,no,no,cellular,17,jul,489,2,-1,0,unknown,no
59,blue-collar,married,secondary,no,1407,yes,no,unknown,9,may,232,1,-1,0,unknown,no
35,blue-collar,married,primary,no,0,yes,no,cellular,8,may,265,1,290,2,failure,no
36,management,divorced,tertiary,no,276,yes,no,cellular,22,aug,131,2,-1,0,unknown,no
49,technician,married,secondary,no,4667,yes,no,unknown,19,may,130,2,-1,0,unknown,no
58,retired,married,primary,no,745,yes,no,cellular,20,apr,23,1,-1,0,unknown,no
37,unemployed,single,tertiary,no,1316,yes,no,cellular,18,nov,389,1,172,2,failure,no
29,technician,single,secondary,no,286,no,no,telephone,2,feb,70,2,-1,0,unknown,no
31,management,single,secondary,no,99,yes,yes,cellular,18,nov,125,1,-1,0,unknown,no
40,unemployed,single,secondary,no,11,yes,no,unknown,6,may,43,1,-1,0,unknown,no
32,management,single,tertiary,no,697,no,no,cellular,30,apr,210,3,-1,0,unknown,no
30,technician,divorced,secondary,no,2403,no,no,cellular,20,aug,132,2,-1,0,unknown,no
39,housemaid,married,primary,no,267,no,no,unknown,9,jun,1151,5,-1,0,unknown,no
54,technician,married,secondary,no,719,yes,no,cellular,2,feb,242,1,264,1,failure,no
36,admin.,married,secondary,no,542,yes,no,unknown,18,jun,604,6,-1,0,unknown,no
27,blue-collar,single,secondary,no,0,yes,no,unknown,7,may,191,4,-1,0,unknown,no
25,blue-collar,married,secondary,no,300,yes,yes,unknown,19,may,126,3,-1,0,unknown,no
43,entrepreneur,single,tertiary,no,744,no,yes,cellular,29,jul,619,4,-1,0,unknown,no
47,retired,divorced,secondary,no,47,no,no,cellular,29,jan,489,1,-1,0,unknown,no
33,admin.,single,tertiary,no,1077,no,no,cellular,26,may,118,2,-1,0,unknown,no
29,admin.,single,secondary,no,613,yes,no,unknown,19,jun,779,1,-1,0,unknown,no
35,technician,married,secondary,no,374,yes,yes,telephone,7,aug,72,5,-1,0,unknown,no
58,admin.,married,secondary,no,3927,no,no,cellular,11,oct,124,3,363,1,failure,no
35,blue-collar,single,secondary,no,505,no,yes,cellular,30,jan,109,3,-1,0,unknown,no
50,admin.,single,secondary,no,692,yes,no,unknown,30,may,136,8,-1,0,unknown,no
36,blue-collar,married,secondary,no,198,yes,no,unknown,9,may,400,2,-1,0,unknown,no
33,blue-collar,married,primary,no,2615,yes,no,unknown,27,may,143,8,-1,0,unknown,no
29,management,married,tertiary,no,-346,no,no,cellular,29,jan,290,2,-1,0,unknown,no
25,services,single,secondary,no,443,yes,no,cellular,5,may,133,1,-1,0,unknown,no
32,technician,married,tertiary,no,514,yes,no,unknown,20,may,414,2,-1,0,unknown,no
46,blue-collar,married,primary,no,1596,no,no,cellular,8,aug,417,2,-1,0,unknown,no
43,entrepreneur,married,secondary,no,0,yes,no,telephone,6,may,167,3,-1,0,unknown,no
42,blue-collar,divorced,secondary,no,-135,yes,no,unknown,13,may,15,11,-1,0,unknown,no
51,blue-collar,married,primary,no,1016,yes,no,cellular,20,apr,78,1,-1,0,unknown,no
44,technician,married,secondary,no,339,yes,yes,telephone,6,aug,244,3,-1,0,unknown,no
50,management,married,secondary,no,0,yes,no,cellular,20,nov,152,1,190,1,failure,no
52,management,divorced,tertiary,no,64,no,no,cellular,5,aug,27,3,-1,0,unknown,no
58,admin.,married,secondary,no,855,no,no,cellular,14,aug,81,2,-1,0,unknown,no
31,admin.,married,secondary,no,1661,yes,no,cellular,11,jul,100,2,-1,0,unknown,no
56,retired,married,primary,no,133,no,yes,unknown,12,jun,322,2,-1,0,unknown,no
30,technician,married,unknown,no,0,yes,no,cellular,16,jul,510,3,-1,0,unknown,no
34,technician,single,secondary,no,95,no,no,cellular,22,aug,119,8,-1,0,unknown,no
31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
44,blue-collar,married,tertiary,no,2185,yes,no,unknown,16,may,698,1,-1,0,unknown,no
40,retired,single,primary,no,-79,no,no,cellular,14,may,396,1,370,1,failure,no
57,management,divorced,unknown,no,0,no,no,unknown,16,jun,335,3,-1,0,unknown,no
40,blue-collar,divorced,primary,no,4168,yes,no,cellular,29,jan,91,1,223,3,failure,no
30,self-employed,married,secondary,no,123,no,yes,unknown,17,jul,66,1,85,5,other,no
33,admin.,married,secondary,no,2374,yes,no,cellular,14,apr,706,2,-1,0,unknown,no
40,blue-collar,married,primary,no,-108,yes,no,unknown,19,jun,149,3,-1,0,unknown,no
54,technician,married,primary,no,3067,yes,no,telephone,29,jul,222,3,-1,0,unknown,no
28,student,single,tertiary,no,80,yes,no,unknown,19,may,234,1,-1,0,unknown,no
25,student,single,tertiary,no,0,yes,no,cellular,7,may,178,1,-1,0,unknown,no
31,admin.,single,secondary,no,1374,yes,no,cellular,18,may,290,2,370,1,failure,no
46,housemaid,married,primary,no,17,no,no,unknown,17,jun,72,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,679,yes,no,cellular,17,apr,642,2,304,1,failure,no
56,admin.,married,secondary,no,95,yes,no,cellular,18,may,428,2,-1,0,unknown,no
23,student,single,tertiary,no,508,no,no,cellular,8,sep,210,1,92,1,failure,no
37,housemaid,married,unknown,no,3075,no,no,unknown,20,jun,29,3,-1,0,unknown,no
40,admin.,married,primary,no,189,yes,no,unknown,27,may,160,2,-1,0,unknown,no
35,retired,single,secondary,no,527,no,yes,unknown,2,jul,348,3,-1,0,unknown,no
46,technician,married,secondary,no,231,yes,no,unknown,3,jun,117,1,-1,0,unknown,no
40,admin.,married,secondary,no,3138,no,no,cellular,12,aug,238,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,28,no,yes,cellular,4,feb,215,1,222,1,other,no
46,unemployed,divorced,secondary,no,41,yes,no,unknown,12,may,249,4,-1,0,unknown,no
58,management,married,tertiary,no,299,no,no,cellular,16,jul,120,4,-1,0,unknown,no
36,admin.,divorced,tertiary,no,289,yes,yes,cellular,21,nov,73,4,-1,0,unknown,no
55,management,divorced,tertiary,no,552,no,no,unknown,7,may,241,2,-1,0,unknown,no
41,technician,married,secondary,no,6171,no,no,cellular,28,aug,50,5,-1,0,unknown,no
38,housemaid,divorced,secondary,no,216,no,no,cellular,7,jul,97,3,-1,0,unknown,no
35,management,married,tertiary,no,-273,yes,no,cellular,16,jul,344,3,-1,0,unknown,no
46,management,divorced,tertiary,no,6269,yes,no,telephone,18,nov,249,3,112,2,failure,no
32,technician,married,secondary,no,0,no,no,cellular,21,aug,120,3,-1,0,unknown,no
42,blue-collar,married,primary,no,692,no,yes,unknown,19,jun,207,1,-1,0,unknown,no
49,blue-collar,married,secondary,no,141,no,no,cellular,6,aug,275,1,-1,0,unknown,no
28,technician,single,secondary,no,456,no,no,cellular,9,feb,16,9,-1,0,unknown,no
40,admin.,married,secondary,no,334,yes,no,unknown,6,jun,84,5,-1,0,unknown,no
35,management,married,tertiary,no,1510,yes,no,unknown,9,may,61,1,-1,0,unknown,no
43,self-employed,married,secondary,no,1239,yes,yes,telephone,23,jul,355,3,-1,0,unknown,no
38,technician,married,secondary,no,1,yes,no,cellular,21,nov,57,5,199,1,success,no
42,student,married,unknown,no,-7,no,no,telephone,31,jul,41,6,-1,0,unknown,no
45,technician,married,secondary,no,4466,yes,no,unknown,3,jun,110,1,-1,0,unknown,no
46,blue-collar,divorced,primary,no,916,yes,no,cellular,11,may,472,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,-77,yes,no,cellular,28,jul,151,3,-1,0,unknown,no
49,blue-collar,single,primary,no,48,no,no,cellular,9,feb,433,3,-1,0,unknown,no
45,services,married,secondary,no,972,yes,no,cellular,8,may,343,1,282,3,failure,no
28,admin.,single,secondary,no,261,yes,yes,cellular,30,jul,269,7,182,9,success,no
37,technician,single,secondary,no,1255,yes,no,unknown,30,may,224,2,-1,0,unknown,no
